Question,Answer
What is the Response Time Analysis project?,"GitHub repository: https://github.com/iNoahCodeGuy/response_time_cl_analysis. The question every sales team argues about: does responding faster to leads actually increase the chance of closing a deal? Most teams look at the numbers and see that fast responses have higher close rates. Case closed, right? Not even close. The problem is confounding. Walk-in leads are high intent and get responded to quickly. Top-performing reps are both faster and better closers. A naive comparison of fast versus slow responses conflates speed with lead quality and rep skill. This app is a five-layer statistical argument that systematically separates the real effect of speed from everything else that looks like speed. It is a Streamlit application that accepts any sales team's lead data, runs five layers of increasingly rigorous analysis, and tells you not just whether the pattern exists but whether it survives after you control for the variables that could fake it. Every statistical test includes the formula, the result, and a plain-English explanation. The target user is a sales manager who needs the answer, not a statistician who already knows how to get it. ![Executive dashboard showing close rates, volume, distribution, and weekly trends](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/10_executive_dashboard.png)"
What is confounding and why does it matter in the Response Time Analysis project?,"Confounding is the single most important concept in this project. Here is the problem in plain terms: imagine you notice that people who carry umbrellas get rained on more often. Does carrying an umbrella cause rain? Obviously not. Rain causes both the umbrella-carrying and the getting-rained-on. The umbrella and the rain are confounded by a third variable: the weather forecast. The same logic applies to lead response times. Fast responses correlate with higher close rates. But walk-in leads are high intent (they already showed up) AND they get responded to quickly (the person is standing in front of you). The lead source confounds the relationship between speed and closing. Similarly, the best sales reps tend to be both faster at responding and better at closing. Rep skill confounds the relationship. A naive analysis says 'responding in under 15 minutes triples your close rate.' The honest analysis says 'responding in under 15 minutes increases your close rate by 2.3x after controlling for lead source, and the effect is real, but it is smaller than the raw numbers suggest.' The difference between 3x and 2.3x is confounding. The enterprise dataset demonstrates this precisely: the fastest bucket's odds ratio drops from 3.17x (uncontrolled) to 2.30x (controlled for lead source). The effect shrinks but survives. That is the finding: speed matters independently, but not as much as the raw numbers claim. ![Model comparison showing uncontrolled vs controlled odds ratios](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/09_model_comparison.png)"
How does the five-layer statistical system work?,"Five layers, each answering a more precise question than the last. The progression matters because each layer addresses a specific weakness in the one before it. Layer 1 is descriptive statistics: group leads into response time buckets (0-15, 15-30, 30-60, 60+ minutes), calculate close rates per bucket with Wilson score confidence intervals, and look at the pattern. In the enterprise dataset: 14.9% close rate for 0-15 minutes, 10.2% for 15-30, 7.5% for 30-60, 5.2% for 60+. A clear gradient. But this layer cannot tell you whether the differences are statistically significant or just noise. ![Close rates by response time bucket with confidence intervals](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/01_close_rate_by_bucket.png) Layer 2 is hypothesis testing: chi-square test asks whether response bucket and close outcome are independent. If the p-value is above 0.05, the pattern could be random and you stop. If it is below 0.05, you know something is there. Pairwise z-tests with Bonferroni correction then identify which specific buckets differ from each other. But this layer cannot tell you whether the effect is caused by speed or by something else correlated with speed. ![Pairwise z-test matrix showing all comparisons significant](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/08_pairwise_ztest_matrix.png) Layer 3 is confounding control: logistic regression models the probability of closing as a function of response bucket AND lead source simultaneously. This isolates the speed effect from the lead quality effect. The enterprise dataset shows the fastest bucket's odds ratio drops from 3.17x to 2.30x after controlling for lead source, confirming confounding exists but the speed effect persists independently. ![Forest plot of odds ratios with 95% confidence intervals](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/05_forest_plot_odds_ratios.png) Layer 4 assesses the confounding structure directly: a heatmap of close rates by source and bucket shows whether the speed gradient exists within every lead source independently. If it does, the effect is not just a between-source artifact. The rep scatter plot checks whether faster reps are simply better closers. ![Heatmap of close rates by lead source and response bucket](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/04_heatmap_source_x_bucket.png) Layer 5 is temporal consistency: weekly trends track close rates by bucket over 24 weeks. If the effect is real, it should be stable. If it is driven by one anomalous week, the entire argument weakens. ![Weekly trend showing fastest bucket consistently on top across 24 weeks](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/07_weekly_trend.png)"
What tools and technologies were used in the Response Time Analysis project?,"Python 3, Streamlit (web framework and interactive UI), Pandas (data manipulation), NumPy (numerical operations), Plotly (interactive charts with hover, zoom, and drill-down), SciPy (chi-square tests, normal distribution functions), Statsmodels (logistic regression and proportion z-tests with Bonferroni correction), python-dateutil (flexible date parsing including ISO, US, European, and Excel serial number formats), openpyxl (Excel file support). The modular architecture spans 26 Python files across five directories: data/ for loading, parsing, and column auto-detection, analysis/ for all statistical computations, explanations/ for first-principles interpretation of every test, components/ for UI elements, and config/ for all tunable parameters. Static publication-quality figures are generated separately via generate_figures.py using Plotly's write_image at 2x resolution."
What is the chi-square test and how is it used in the Response Time Analysis?,"The chi-square test of independence is the screening test, the first statistical question: is there any relationship between how fast you respond and whether the lead closes? Think of it like this. You have a table with response time buckets as rows and outcomes (closed or not closed) as columns. If speed does not matter, you would expect the close rate to be roughly the same across all buckets. The chi-square test compares what you actually observed against what you would expect if speed had zero effect. The bigger the gap between observed and expected, the larger the chi-square statistic, and the smaller the p-value. If the p-value is below 0.05, the pattern is unlikely to be random chance. In the enterprise dataset with 75,000 leads, the chi-square test is highly significant across all comparisons. The app shows the full worked example: observed frequencies, expected frequencies under independence, per-bucket contributions to the chi-square statistic, and the critical value comparison. The important limitation: chi-square tells you the relationship exists but not how strong it is, which bucket drives it, or whether it survives after controlling for other variables. That is why it is Layer 2 in a five-layer system, not the whole analysis."
What is the pairwise z-test and Bonferroni correction?,"The chi-square test says 'something differs somewhere.' The pairwise z-test says 'here is exactly where.' It compares every pair of response time buckets directly: is the close rate for 0-15 minutes significantly different from 15-30 minutes? From 30-60? From 60+? With four buckets, that is six separate comparisons. The statistical problem: every time you run a test, there is a 5% chance of a false positive. Run six tests, and the chance of at least one false positive rises to nearly 26%. Bonferroni correction solves this by dividing the significance threshold by the number of comparisons (0.05 / 6 = 0.0083). A result has to clear a higher bar to be called significant. It is the conservative approach. If something passes Bonferroni, you can trust it. In the enterprise dataset, all six pairwise comparisons are significant at p < 0.001, well below even the Bonferroni-corrected threshold. The differences range from 2.3 percentage points (between adjacent buckets) to 9.7 percentage points (fastest versus slowest). The app also calculates Cohen's h for each comparison, a standardized effect size that tells you whether the difference is small, medium, or large regardless of sample size. ![Pairwise z-test matrix with significance levels and effect sizes](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/08_pairwise_ztest_matrix.png)"
What is logistic regression and how does it control for confounding?,"Logistic regression is the critical test in the system. It answers the question the earlier tests cannot: does speed matter after you account for other factors? Here is the intuition. Imagine you are trying to figure out whether coffee causes heart attacks. People who drink more coffee also tend to smoke more and exercise less. If you just compare coffee drinkers to non-drinkers, you are also comparing smokers to non-smokers and sedentary people to active people. Logistic regression lets you hold smoking and exercise constant and ask: among people with the same smoking and exercise habits, does coffee still matter? In this project, the model predicts close probability from response time bucket AND lead source simultaneously. The formula is: probability of closing = function of (response bucket + lead source). The reference category is the slowest bucket (60+ minutes), so every other bucket's odds ratio tells you how much better the odds of closing are compared to the slowest responders. The enterprise dataset result: the fastest bucket (0-15 minutes) has a 2.30x odds ratio after controlling for lead source. That means leads responded to within 15 minutes have 2.3 times the odds of closing compared to 60+ minute responses, holding lead source constant. Without the control, the raw ratio was 3.17x. The 0.87x difference is confounding, real but quantified. The model also reports 95% confidence intervals, z-statistics, and p-values for every coefficient. Pseudo R-squared of 0.073 means the model explains a modest portion of variance, which is expected because many factors beyond speed and source influence whether a deal closes. ![Forest plot showing odds ratios with confidence intervals on log scale](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/05_forest_plot_odds_ratios.png)"
What does the heatmap reveal about lead source and response time?,"The heatmap is the confounding diagnostic. It answers a question the logistic regression raises but does not directly show: does the speed gradient exist within every lead source, or only between them? If walk-in leads close at 20% regardless of speed while website leads close at 5% regardless of speed, then the overall pattern is entirely driven by lead mix, not response time. The heatmap would show flat rows and different row heights. But in the enterprise dataset, the heatmap shows a green-to-red gradient within every single lead source. Walk-ins: 27.6% close rate at 0-15 minutes versus 13.4% at 60+ minutes. Website forms: 12.1% versus 4.2%. Social media ads: 9.6% versus 3.4%. The gradient is steeper for some sources than others, but it exists everywhere. This is the visual proof that the speed effect is not just a lead-mix artifact. Even when you hold lead source constant by looking at one row at a time, faster responses still close more. The heatmap answers a question that even the logistic regression coefficient cannot show as intuitively: the pattern is pervasive, not driven by one dominant lead source. ![Heatmap showing close rate gradient within every lead source](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/04_heatmap_source_x_bucket.png)"
What does the sales rep scatter plot show?,"The rep scatter plot is the other confounding diagnostic, this time asking about people instead of lead sources. Each dot is a sales rep. The x-axis is their median response time, the y-axis is their close rate, and the bubble size shows how many leads they handled. A trend line and correlation coefficient summarize the relationship. In the enterprise dataset with 35 reps, the correlation is r = -0.93. That is nearly perfect: faster reps close more, almost without exception. This is both the strongest finding and the biggest confounding red flag. If the best closers are also the fastest responders, you cannot tell from this data alone whether speed causes closes or whether skilled reps happen to do both. The logistic regression helps disentangle this by controlling for lead source, but rep skill is harder to isolate because it affects everything simultaneously. The scatter plot makes this visible at a glance. A manager looking at this chart sees two things: which reps are outliers (fast but low close rate, or slow but high close rate), and whether the overall pattern is tight enough to take seriously. At r = -0.93, the pattern is not subtle. ![Sales rep scatter plot showing r = -0.93 correlation between speed and close rate](https://raw.githubusercontent.com/iNoahCodeGuy/response_time_cl_analysis/main/figures/06_rep_scatter.png)"
What are Wilson score confidence intervals and why use them?,"Confidence intervals tell you how much uncertainty is in a number. If the 0-15 minute bucket has a 14.9% close rate, the confidence interval might be 14.2% to 15.6%. The interval says 'the true rate is probably somewhere in this range.' If two buckets' intervals overlap, the difference might not be real. Wilson score intervals are specifically designed for proportions (percentages). The naive approach is to use the normal approximation: take the proportion plus or minus a multiple of the standard error. That works fine when the proportion is near 50% and the sample is large. But close rates are often low (5-15%), and some buckets may have small samples. The normal approximation can produce impossible results like negative lower bounds. The Wilson score interval solves this by using a formula that stays between 0% and 100% and is more accurate when proportions are far from 50% or samples are modest. It is the standard in modern statistical software. In the close rate bar chart, the error bars are Wilson score intervals. When they do not overlap between buckets, you can be confident the difference is statistically meaningful even before running formal tests."
