Question,Answer
What is the Customer Segmentation project?,"GitHub repository: https://github.com/iNoahCodeGuy/Customer_Segmentation_decision_trees. The fundamental problem with telecom customer management is that companies assign customers to service tiers but have no idea why a customer belongs in a particular segment. Marketing runs generic campaigns, support resources get misallocated, and churn prevention stays reactive. The constraint: you need interpretable rules, not just predictions. A black-box model that says 'customer X is segment C' is useless if no one can explain what makes segment C different. So Noah built a decision tree classifier on 1,000 telecom customers with 11 demographic and account-level features, targeting four service tiers (A, B, C, D). Decision trees were chosen specifically because they produce human-readable rules, 'if education > 3 and tenure > 40, classify as segment C', and rank features by contribution. The result: education level (42%), tenure (39%), and income (14%) account for 95% of what drives segmentation. Region, gender, age, retirement status, the variables most people would guess matter, contribute nothing. The tree ignores them entirely. That is the kind of insight a neural network would never surface."
What tools and technologies were used in the Customer Segmentation project?,"Python 3, scikit-learn, pandas, NumPy, seaborn, matplotlib. The modeling pipeline uses GridSearchCV for systematic hyperparameter search across tree depth, splitting criteria, and leaf constraints. Stratified train-test split preserves class proportions in the 80/20 split. StandardScaler is applied to features, not required for decision trees, but it keeps the pipeline extensible for future model comparisons like SVM or logistic regression without rewriting preprocessing. 5-fold cross-validation evaluates every parameter combination on held-out data so the search cannot select parameters that only look good on one lucky split."
How does the Customer Segmentation model work?,"The pipeline has four stages. Stage 1. Data Assessment: 1,000 telecom customers, 11 features, 4-class target. Zero missing values. Roughly balanced classes (217-281 per category). No preprocessing surprises, which is rare and means more time on modeling. Stage 2. Exploratory Analysis: three questions before touching a model. Are features informative? Tenure and income distributions shift across segments, but no single feature cleanly separates all four groups. A simple rule like 'high income = segment A' will not work. Are features redundant? The correlation heatmap shows moderate correlations, age-employ at 0.67, age-address at 0.66, marital-reside at 0.63, but nothing extreme. Trees handle multicollinearity natively so this confirms overlapping but not fully redundant signal. Stage 3. Model Selection and Tuning: an unconstrained decision tree (depth 18) achieves only 33.5% cross-validation accuracy. That is severe overfitting, the model memorizes training patterns that do not generalize. GridSearchCV searched across max_depth, criterion, min_samples_split, and min_samples_leaf with 5-fold cross-validation. The optimal tree uses gini criterion at depth 3 with min_samples_leaf=1 and min_samples_split=2. Stage 4. Results: 37% test accuracy versus 25% random baseline. Education at 42% importance, tenure at 39%, income at 14%. Seven of eleven features contribute zero importance."
What were the results of the Customer Segmentation project?,"Test accuracy: 37% on held-out data, versus 25% random baseline for a 4-class problem. That is a 48% improvement over random guessing, meaningful signal, not production-grade prediction. Per-class: Category C has the highest recall at 55%, the model identifies these customers most reliably. Category B has the lowest recall at 20% and AUC of 0.61, it is the hardest segment to distinguish. Category D has the best AUC at 0.68. Errors are distributed across classes rather than concentrated, which means the overlapping feature distributions between segments are the bottleneck, not a systematic flaw in the model. The honest assessment: a single decision tree captures real signal but is insufficient as a standalone production model. The value is in the interpretable rules and feature importance insights. Education level and tenure dominate segmentation, that is the actionable finding for marketing and retention teams."
What is the feature importance in the Customer Segmentation project?,"Three features account for 95% of all segmentation decisions. Education level at 42% importance, the single strongest predictor. Tenure at 39%, how long someone has been a customer is nearly as important as their education level. Income at 14%, meaningful but secondary. Household size (reside) accounts for the remaining 5%. ![Feature importance: education 42%, tenure 39%, income 14% account for 95% of total](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig8_feature_importance.png) The other seven features, region, age, marital status, address length, employment years, retirement status, and gender, contribute exactly zero. The tree does not use them at all. That is a counterintuitive finding. Most people would assume age or region would matter for telecom segmentation. They do not. The implication for marketing: segment-specific campaigns should weight education level and tenure over demographic variables. Stop targeting by region or gender, the data says those variables carry no signal for service tier classification."
What visualizations are in the Customer Segmentation project?,"Nine figures that map the full analytical pipeline. Figure 1, class distribution bar chart showing roughly balanced categories (217-281 per segment), confirming no severe class imbalance to address. ![Class distribution across all four segments](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig1_custcat_dist.png) Figure 3, box plots of all numeric features by customer category showing some differentiation across segments in tenure and income, but substantial overlap confirming no single feature cleanly separates all four groups. ![Feature distributions by customer category showing substantial overlap](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig3_boxplots.png) Figure 4, correlation heatmap revealing moderate correlations between age-related features (age-employ at 0.67, age-address at 0.66) but no extreme redundancy. ![Correlation heatmap showing moderate correlations between age-related features](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig4_correlation.png) Figure 5, validation curve plotting train and CV accuracy against max_depth, showing the classic overfitting pattern where training accuracy climbs toward 100% while CV accuracy peaks at shallow depths then declines. ![Validation curve showing clear overfitting beyond depth 4](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig5_validation_curve.png) Figure 6, the complete decision tree at depth 3, where every prediction is traceable through exactly 3 decision rules. ![Complete decision tree at depth 3](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig6_tree.png) Figure 7, confusion matrix showing errors distributed across classes rather than concentrated. ![Confusion matrix showing errors distributed across classes](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig7_confusion_matrix.png) Figure 8, horizontal bar chart of feature importance with education (42%), tenure (39%), and income (14%) dominating. ![Feature importance: education 42%, tenure 39%, income 14% account for 95% of total](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig8_feature_importance.png) Figure 9. ROC curves for all four classes in a one-vs-rest setup, with AUC ranging from 0.61 to 0.68, consistently above the 0.50 random baseline. ![ROC curves with AUC 0.61-0.68 across classes](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig9_roc.png)"
What is the validation curve in the Customer Segmentation project?,"The validation curve is the single most important diagnostic in the project. It plots training accuracy and 5-fold cross-validation accuracy against tree depth from 2 to 20. ![Validation curve showing clear overfitting beyond depth 4](https://raw.githubusercontent.com/iNoahCodeGuy/Customer_Segmentation_decision_trees/main/figures/fig5_validation_curve.png) The pattern is textbook overfitting: training accuracy climbs steadily toward 100% as depth increases, the tree memorizes the training data. Cross-validation accuracy peaks around depth 3-4 and then declines as the tree gets deeper. At depth 18 (the unconstrained baseline), the tree has perfect recall on training data it has already seen but only 33.5% accuracy on data it has not. At depth 3 (the tuned model), it trades some training accuracy for better generalization, 36.75% CV accuracy. The gap between the two curves is the overfitting gap. The insight: more computation does not automatically mean better answers. A 3-level tree that makes 3 decisions outperforms an 18-level tree that makes 18 decisions. Disciplined constraints beat brute-force complexity."
What is the confusion matrix in the Customer Segmentation project?,"The confusion matrix is a 4x4 grid showing actual versus predicted categories for all 200 test samples. Category C predictions are the most reliable, 31 correct out of 56 actual (55% recall). Category B is the weakest, only 9 correct out of 44 actual (20% recall), with most B customers being misclassified as C or D. Categories A and D fall in between at 32% and 36% recall respectively. The distribution of errors matters: misclassifications are spread across all off-diagonal cells rather than concentrated in one area. This means the segments genuinely overlap in feature space, it is not that the model is systematically confusing A with B. The features available (demographics and account tenure) simply do not contain enough information to fully separate all four groups. That is a data limitation, not a model limitation."
What are the ROC curves in the Customer Segmentation project?,"The ROC curves use a one-vs-rest approach, each class gets its own curve showing true positive rate versus false positive rate. AUC values: Category A at 0.63, Category B at 0.61, Category C at 0.66, Category D at 0.68. All consistently above the 0.50 diagonal (random guessing) but below the 0.80+ range you would want for production deployment. Category D has the best discriminative ability, the model is most confident when it identifies D customers. Category B has the worst, consistent with its low recall in the confusion matrix. The practical reading: the model has moderate discriminative ability across all classes. It is learning real patterns, not guessing, but the signal-to-noise ratio in the available features is not strong enough for a single decision tree to achieve high separation."
Why did Noah choose decision trees for customer segmentation?,"The first priority was understanding what drives segmentation, not just predicting it. That constraint eliminates most high-accuracy models immediately. A random forest or gradient boosting ensemble would likely push accuracy above 50%, but they trade interpretability for performance. A neural network would do worse than both and explain nothing. Decision trees were chosen because they produce human-readable rules, you can trace any prediction through exactly 3 decisions and explain it to a non-technical stakeholder. They rank features by contribution, which directly answers the business question: what actually matters for customer segmentation? They handle mixed feature types natively. They make no assumptions about linear relationships between variables. The tradeoff is lower accuracy. Noah accepted that tradeoff deliberately because the project goal was insight, not deployment. The finding that education and tenure dominate segmentation while demographics like region and gender contribute nothing, that is worth more to a marketing team than a 60% accurate black box."
