Question,Answer
What is the Logistic Regression Employee Attrition project?,"GitHub repository: https://github.com/iNoahCodeGuy/Predicting-Employee-Attrition-Using-Logistic-Regression. The problem: employee attrition costs companies time, money, and institutional knowledge, especially in industries where qualified candidates are scarce. The constraint is that HR teams need something actionable, not just a prediction. They need to know which employees are at risk and which factors drive the risk. Logistic regression was chosen because it outputs calibrated probabilities between 0 and 1, not just binary labels. An HR manager can sort employees by attrition probability and prioritize retention conversations. The model was trained on 4,653 employees with 8 features from the Kaggle Employee Future Prediction dataset. Result: 94.75% accuracy on an imbalanced dataset where naive approaches (predicting the majority class) plateau around 83%. The last 12 percentage points are where the actual work is."
What tools and technologies were used in the Logistic Regression Attrition project?,"Python 3, scikit-learn, pandas, NumPy, seaborn, matplotlib. Logistic regression with L2 regularization as the primary classifier. Feature engineering on categorical variables (City, Education, Gender, EverBenched) via one-hot encoding. StandardScaler for feature normalization. Stratified train-test split preserving class proportions. Cross-validation for model evaluation. Confusion matrix and ROC curve analysis for performance assessment."
What were the results of the Logistic Regression Attrition project?,"94.75% accuracy on held-out test data. That number sounds high until you realize the baseline (predict Stay for everyone) gets 65.6% for free. The real metric is whether the model catches people who actually leave. The confusion matrix and ROC curve (AUC 0.74) show the model has genuine discriminative power. ![Confusion matrix for logistic regression model](https://raw.githubusercontent.com/iNoahCodeGuy/Predicting-Employee-Attrition-Using-Logistic-Regression/main/confusion_matrix.png) ![ROC curve with AUC 0.74](https://raw.githubusercontent.com/iNoahCodeGuy/Predicting-Employee-Attrition-Using-Logistic-Regression/main/roc_curve.png) Precision: 71.50%. Recall: 47.81%. The precision-recall tradeoff is the opposite of the Naive Bayes model on the same data: logistic regression is more conservative, flagging fewer people but being more confident when it does."
What are the key findings of the Logistic Regression Attrition project?,"Four findings that would change how an HR team allocates retention resources. Gender disparity: 47% female attrition versus 26% male. That gap is large enough to warrant investigation into workplace culture, advancement opportunities, or compensation equity. Location effect: Pune has roughly 50% attrition versus 27-32% for Bangalore and New Delhi. Something specific to the Pune office, whether it is management, market competition for talent, or working conditions, is driving people out. Payment tier: Tier 2 has the highest attrition at 60%. Not Tier 1 (lowest paid), Tier 2. That suggests mid-range compensation creates the most flight risk, possibly because Tier 2 employees have enough experience to be marketable but not enough compensation to feel locked in. Education: Master's holders leave at higher rates than Bachelor's or PhD holders. Graduate-educated employees may have more career options or higher expectations."
How does the Logistic Regression Attrition model work?,"Logistic regression is a discriminative classifier. It draws a decision boundary through the feature space that separates the two classes (Stay vs Leave). The model learns a set of weights, one per feature, that combine linearly and pass through a sigmoid function to produce a probability between 0 and 1. The preprocessing pipeline handles the 4 categorical features (City, Education, Gender, EverBenched) via one-hot encoding and scales the 4 numerical features (JoiningYear, PaymentTier, Age, ExperienceInCurrentDomain) with StandardScaler. L2 regularization prevents overfitting by penalizing large coefficients. The model's coefficients are directly interpretable: a positive coefficient means that feature increases attrition probability, a negative one decreases it. That interpretability is why logistic regression remains the baseline in HR analytics despite fancier alternatives."
What is the dataset used in the Logistic Regression Attrition project?,"4,653 employees from the Kaggle Employee Future Prediction dataset. 8 features: Education (Bachelor's, Master's, PhD), City (Bangalore, Pune, New Delhi), Gender (binary), EverBenched (whether temporarily unassigned to a project), JoiningYear, PaymentTier (1-3), Age, ExperienceInCurrentDomain (years). Binary target: LeaveOrNot. Class distribution: 34.4% Leave, 65.6% Stay. No missing values. This is the same dataset used in Noah's Naive Bayes attrition project, enabling direct comparison between discriminative and generative modeling approaches on identical data."
How does the Logistic Regression compare to the Naive Bayes Attrition project?,"Same dataset, different modeling philosophy. Logistic regression is discriminative: it draws a boundary. Naive Bayes is generative: it learns what each class looks like. The practical difference shows up in the error profile. Logistic regression: 94.75% accuracy, 71.50% precision, 47.81% recall. Naive Bayes: 72.07% accuracy, 59.62% precision, 58.13% recall. Logistic regression is more conservative. When it flags someone, it is usually right (72% precision). But it misses half the people who actually leave (48% recall). Naive Bayes catches 10% more leavers but at the cost of more false alarms. In HR where missed leavers are expensive and false alarms are cheap (just an extra check-in), the Naive Bayes tradeoff may be the right one. Neither model dominates the other. That is itself a finding, and it motivated Noah to build both."
What is the confusion matrix in the Logistic Regression Attrition project?,"![Confusion matrix for logistic regression model](https://raw.githubusercontent.com/iNoahCodeGuy/Predicting-Employee-Attrition-Using-Logistic-Regression/main/confusion_matrix.png) The confusion matrix shows the model's conservative nature. High true negative rate (correctly identifies stayers) but moderate true positive rate (catches some but not all leavers). The false negative count represents employees the model missed, people who left that HR was not warned about. The false positive count represents unnecessary retention conversations, a low-cost error. The distribution of errors reflects logistic regression's tendency to favor the majority class when there is imbalance, which is one of the reasons Noah also built the Naive Bayes model as a complementary approach."
What is the ROC curve in the Logistic Regression Attrition project?,"![ROC curve with AUC 0.74](https://raw.githubusercontent.com/iNoahCodeGuy/Predicting-Employee-Attrition-Using-Logistic-Regression/main/roc_curve.png) AUC of 0.74, meaningfully above the 0.5 random baseline. The ROC curve plots true positive rate against false positive rate across all possible decision thresholds. The curve shows the model has real discriminative power. For comparison, the Naive Bayes model achieved AUC 0.725 on the same data, a negligible difference. Both models have similar overall discriminative ability; where they differ is in their default operating point on the curve. Logistic regression operates at a point favoring precision, Naive Bayes at a point favoring recall."
What is the preprocessing pipeline in the Logistic Regression Attrition project?,"Four categorical features (City, Education, Gender, EverBenched) converted via one-hot encoding. Four numerical features (JoiningYear, PaymentTier, Age, ExperienceInCurrentDomain) scaled with StandardScaler. The scaling matters because logistic regression coefficients are sensitive to feature magnitude. Without scaling, a feature measured in years (0-40) would appear to have a smaller effect than a feature measured in tiers (1-3), even if the actual effect is larger. Stratified train-test split preserves the 34.4%/65.6% class ratio in both sets. This is critical because random splitting on an imbalanced dataset can produce a test set that is unrepresentative. L2 regularization penalizes large coefficients, preventing the model from overfitting to noise in the training data. The regularization strength is the default scikit-learn value (C=1.0), which performed well without hyperparameter tuning."
